@relation balance-scale-weka.filters.unsupervised.attribute.MakeIndicator-Clast-V1-N-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute left-weight numeric
@attribute left-distance numeric
@attribute right-weight numeric
@attribute right-distance numeric
@attribute class {neg_L,pos_L}

@data
4,5,1,5,pos_L
4,5,2,1,pos_L
4,5,2,2,pos_L
4,5,2,3,pos_L
4,5,2,4,pos_L
4,5,2,5,pos_L
4,5,3,1,pos_L
4,5,3,2,pos_L
4,5,3,3,pos_L
4,5,3,4,pos_L
4,5,3,5,pos_L
4,5,4,1,pos_L
4,5,4,2,pos_L
4,5,4,3,pos_L
4,5,4,4,pos_L
4,5,4,5,neg_L
4,5,5,1,pos_L
4,5,5,2,pos_L
4,5,5,3,pos_L
4,5,5,4,neg_L
4,5,5,5,neg_L
5,1,1,1,pos_L
5,1,1,2,pos_L
5,1,1,3,pos_L
5,1,1,4,pos_L
5,1,1,5,neg_L
5,1,2,1,pos_L
5,1,2,2,pos_L
5,1,2,3,neg_L
5,1,2,4,neg_L
5,1,2,5,neg_L
5,1,3,1,pos_L
5,1,3,2,neg_L
5,1,3,3,neg_L
5,1,3,4,neg_L
5,1,3,5,neg_L
5,1,4,1,pos_L
5,1,4,2,neg_L
5,1,4,3,neg_L
5,1,4,4,neg_L
5,1,4,5,neg_L
5,1,5,1,neg_L
5,1,5,2,neg_L
5,1,5,3,neg_L
5,1,5,4,neg_L
5,1,5,5,neg_L
5,2,1,1,pos_L
5,2,1,2,pos_L
5,2,1,3,pos_L
5,2,1,4,pos_L
5,2,1,5,pos_L
5,2,2,1,pos_L
5,2,2,2,pos_L
5,2,2,3,pos_L
5,2,2,4,pos_L
5,2,2,5,neg_L
5,2,3,1,pos_L
5,2,3,2,pos_L
5,2,3,3,pos_L
5,2,3,4,neg_L
5,2,3,5,neg_L
5,2,4,1,pos_L
5,2,4,2,pos_L
5,2,4,3,neg_L
5,2,4,4,neg_L
5,2,4,5,neg_L
5,2,5,1,pos_L
5,2,5,2,neg_L
5,2,5,3,neg_L
5,2,5,4,neg_L
5,2,5,5,neg_L
5,3,1,1,pos_L
5,3,1,2,pos_L
5,3,1,3,pos_L
5,3,1,4,pos_L
5,3,1,5,pos_L
5,3,2,1,pos_L
5,3,2,2,pos_L
5,3,2,3,pos_L
5,3,2,4,pos_L
5,3,2,5,pos_L
5,3,3,1,pos_L
5,3,3,2,pos_L
5,3,3,3,pos_L
5,3,3,4,pos_L
5,3,3,5,neg_L
5,3,4,1,pos_L
5,3,4,2,pos_L
5,3,4,3,pos_L
5,3,4,4,neg_L
5,3,4,5,neg_L
5,3,5,1,pos_L
5,3,5,2,pos_L
5,3,5,3,neg_L
5,3,5,4,neg_L
5,3,5,5,neg_L
5,4,1,1,pos_L
5,4,1,2,pos_L
5,4,1,3,pos_L
5,4,1,4,pos_L
5,4,1,5,pos_L
5,4,2,1,pos_L
5,4,2,2,pos_L
5,4,2,3,pos_L
5,4,2,4,pos_L
5,4,2,5,pos_L
5,4,3,1,pos_L
5,4,3,2,pos_L
5,4,3,3,pos_L
5,4,3,4,pos_L
5,4,3,5,pos_L
5,4,4,1,pos_L
5,4,4,2,pos_L
5,4,4,3,pos_L
5,4,4,4,pos_L
5,4,4,5,neg_L
5,4,5,1,pos_L
5,4,5,2,pos_L
5,4,5,3,pos_L
5,4,5,4,neg_L
5,4,5,5,neg_L
5,5,1,1,pos_L
5,5,1,2,pos_L
5,5,1,3,pos_L
5,5,1,4,pos_L
5,5,1,5,pos_L
5,5,2,1,pos_L
5,5,2,2,pos_L
5,5,2,3,pos_L
5,5,2,4,pos_L
5,5,2,5,pos_L
5,5,3,1,pos_L
5,5,3,2,pos_L
5,5,3,3,pos_L
5,5,3,4,pos_L
5,5,3,5,pos_L
5,5,4,1,pos_L
5,5,4,2,pos_L
5,5,4,3,pos_L
5,5,4,4,pos_L
5,5,4,5,pos_L
5,5,5,1,pos_L
5,5,5,2,pos_L
5,5,5,3,pos_L
5,5,5,4,pos_L
5,5,5,5,neg_L
